"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Intestinal infectious diseases"	"A00-A09"	148	3735010	4.0
	"< 1 year"	"1"	"Other bacterial diseases"	"A30-A49"	151	3735010	4.0
	"< 1 year"	"1"	"Other viral diseases"	"B25-B34"	67	3735010	1.8
	"< 1 year"	"1"	"Mycoses"	"B35-B49"	12	3735010	Unreliable
	"< 1 year"	"1"	"Malignant neoplasms"	"C00-C97"	54	3735010	1.4
	"< 1 year"	"1"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	31	3735010	0.8
	"< 1 year"	"1"	"Haemolytic anaemias"	"D55-D59"	11	3735010	Unreliable
	"< 1 year"	"1"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	34	3735010	0.9
	"< 1 year"	"1"	"Other diseases of blood and blood-forming organs"	"D70-D76"	20	3735010	0.5
	"< 1 year"	"1"	"Certain disorders involving the immune mechanism"	"D80-D89"	16	3735010	Unreliable
	"< 1 year"	"1"	"Disorders of other endocrine glands"	"E20-E34"	11	3735010	Unreliable
	"< 1 year"	"1"	"Malnutrition"	"E40-E46"	14	3735010	Unreliable
	"< 1 year"	"1"	"Metabolic disorders"	"E70-E88"	117	3735010	3.1
	"< 1 year"	"1"	"Inflammatory diseases of the central nervous system"	"G00-G09"	53	3735010	1.4
	"< 1 year"	"1"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	15	3735010	Unreliable
	"< 1 year"	"1"	"Episodic and paroxysmal disorders"	"G40-G47"	23	3735010	0.6
	"< 1 year"	"1"	"Diseases of myoneural junction and muscle"	"G70-G72"	30	3735010	0.8
	"< 1 year"	"1"	"Other disorders of the nervous system"	"G90-G98"	115	3735010	3.1
	"< 1 year"	"1"	"Ischaemic heart diseases"	"I20-I25"	11	3735010	Unreliable
	"< 1 year"	"1"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	67	3735010	1.8
	"< 1 year"	"1"	"Other forms of heart disease"	"I30-I51"	164	3735010	4.4
	"< 1 year"	"1"	"Cerebrovascular diseases"	"I60-I69"	104	3735010	2.8
	"< 1 year"	"1"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	16	3735010	Unreliable
	"< 1 year"	"1"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	18	3735010	Unreliable
	"< 1 year"	"1"	"Influenza and pneumonia"	"J09-J18"	125	3735010	3.3
